Date (per month),Price (per barrel in $)
1980.0833333333333,40.0
1980.1666666666667,38.5
1980.25,38.25
1980.3333333333333,38.15
1980.4166666666667,38.5
1980.5,38.0
1980.5833333333333,37.4
1980.6666666666667,33.6
1980.75,33.4
1980.8333333333333,37.9
1980.9166666666667,40.85
1981.0,40.15
1981.0833333333333,40.3
1981.1666666666667,38.7
1981.25,38.35
1981.3333333333333,37.19
1981.4166666666667,35.19
1981.5,33.25
1981.5833333333333,35.06
1981.6666666666667,35.8
1981.75,35.91
1981.8333333333333,36.54
1981.9166666666667,37.12
1982.0,36.7
1982.0833333333333,35.85
1982.1666666666667,31.62
1982.25,29.3
1982.3333333333333,33.12
1982.4166666666667,35.18
1982.5,34.6
1982.5833333333333,33.7
1982.6666666666667,32.85
1982.75,34.25
1982.8333333333333,35.0
1982.9166666666667,33.8
1983.0,31.75
1983.0833333333333,30.85
1983.1666666666667,29.1
1983.25,28.2
1983.3333333333333,29.75
1983.4166666666667,29.6
1983.5,30.17
1983.5833333333333,30.79
1983.6666666666667,31.15
1983.75,30.36
1983.8333333333333,29.62
1983.9166666666667,28.95
1984.0,28.85
1984.0833333333333,29.51
1984.1666666666667,29.73
1984.25,30.03
1984.3333333333333,30.01
1984.4166666666667,29.7
1984.5,29.03
1984.5833333333333,27.81
1984.6666666666667,28.18
1984.75,28.26
1984.8333333333333,27.97
1984.9166666666667,27.62
1985.0,27.07
1985.0833333333333,26.94
1985.1666666666667,28.17
1985.25,28.22
1985.3333333333333,27.98
1985.4166666666667,26.67
1985.5,26.44
1985.5833333333333,26.81
1985.6666666666667,27.34
1985.75,27.72
1985.8333333333333,28.54
1985.9166666666667,29.82
1986.0,26.68
1986.0833333333333,22.18
1986.1666666666667,17.32
1986.25,13.85
1986.3333333333333,12.48
1986.4166666666667,14.05
1986.5,11.9
1986.5833333333333,9.56
1986.6666666666667,13.47
1986.75,14.22
1986.8333333333333,13.88
1986.9166666666667,14.53
1987.0,15.76
1987.0833333333333,18.48
1987.1666666666667,17.35
1987.25,17.89
1987.3333333333333,18.45
1987.4166666666667,18.75
1987.5,18.85
1987.5833333333333,19.83
1987.6666666666667,19.07
1987.75,18.39
1987.8333333333333,18.85
1987.9166666666667,17.9
1988.0,17.42
1988.0833333333333,16.93
1988.1666666666667,15.76
1988.25,14.79
1988.3333333333333,16.62
1988.4166666666667,16.42
1988.5,15.59
1988.5833333333333,14.94
1988.6666666666667,15.0
1988.75,13.35
1988.8333333333333,12.28
1988.9166666666667,12.92
1989.0,15.1
1989.0833333333333,16.96
1989.1666666666667,16.74
1989.25,18.68
1989.3333333333333,19.87
1989.4166666666667,18.46
1989.5,17.57
1989.5833333333333,17.69
1989.6666666666667,17.12
1989.75,17.8
1989.8333333333333,19.03
1989.9166666666667,19.21
1990.0,19.85
1990.0833333333333,21.25
1990.1666666666667,19.93
1990.25,18.37
1990.3333333333333,16.49
1990.4166666666667,16.34
1990.5,15.05
1990.5833333333333,17.14
1990.6666666666667,27.32
1990.75,35.03
1990.8333333333333,36.09
1990.9166666666667,33.2
1991.0,28.32
1991.0833333333333,23.54
1991.1666666666667,19.58
1991.25,19.13
1991.3333333333333,19.13
1991.4166666666667,19.16
1991.5,18.08
1991.5833333333333,19.42
1991.6666666666667,19.73
1991.75,20.48
1991.8333333333333,22.25
1991.9166666666667,21.0
1992.0,18.28
1992.0833333333333,18.55
1992.1666666666667,18.48
1992.25,17.59
1992.3333333333333,19.06
1992.4166666666667,20.03
1992.5,21.28
1992.5833333333333,20.34
1992.6666666666667,19.77
1992.75,20.31
1992.8333333333333,20.26
1992.9166666666667,19.15
1993.0,18.15
1993.0833333333333,17.35
1993.1666666666667,18.48
1993.25,18.75
1993.3333333333333,18.63
1993.4166666666667,18.51
1993.5,17.59
1993.5833333333333,16.76
1993.6666666666667,16.71
1993.75,15.99
1993.8333333333333,16.56
1993.9166666666667,15.08
1994.0,13.56
1994.0833333333333,14.22
1994.1666666666667,13.75
1994.25,13.88
1994.3333333333333,15.15
1994.4166666666667,16.26
1994.5,16.74
1994.5833333333333,17.63
1994.6666666666667,16.82
1994.75,15.85
1994.8333333333333,16.43
1994.9166666666667,17.3
1995.0,15.88
1995.0833333333333,16.55
1995.1666666666667,17.14
1995.25,17.02
1995.3333333333333,18.74
1995.4166666666667,18.32
1995.5,17.35
1995.5833333333333,15.86
1995.6666666666667,16.07
1995.75,16.66
1995.8333333333333,16.12
1995.9166666666667,16.88
1996.0,17.96
1996.0833333333333,17.94
1996.1666666666667,17.97
1996.25,19.99
1996.3333333333333,21.01
1996.4166666666667,19.15
1996.5,18.27
1996.5833333333333,19.61
1996.6666666666667,19.96
1996.75,22.06
1996.8333333333333,23.68
1996.9166666666667,22.28
1997.0,23.52
1997.0833333333333,23.47
1997.1666666666667,20.83
1997.25,19.21
1997.3333333333333,17.47
1997.4166666666667,19.14
1997.5,17.55
1997.5833333333333,18.43
1997.6666666666667,18.69
1997.75,18.45
1997.8333333333333,20.05
1997.9166666666667,19.0
1998.0,17.1
1998.0833333333333,15.09
1998.1666666666667,14.06
1998.25,13.08
1998.3333333333333,13.39
1998.4166666666667,14.39
1998.5,12.06
1998.5833333333333,12.04
1998.6666666666667,11.88
1998.75,13.36
1998.8333333333333,12.56
1998.9166666666667,10.92
1999.0,9.8
1999.0833333333333,10.95
1999.1666666666667,10.2
1999.25,12.12
1999.3333333333333,15.16
1999.4166666666667,15.22
1999.5,15.6
1999.5833333333333,18.71
1999.6666666666667,20.17
1999.75,22.11
1999.8333333333333,22.12
1999.9166666666667,24.55
2000.0,25.48
2000.0833333333333,25.22
2000.1666666666667,27.63
2000.25,27.47
2000.3333333333333,22.54
2000.4166666666667,27.4
2000.5,29.68
2000.5833333333333,28.51
2000.6666666666667,29.89
2000.75,32.62
2000.8333333333333,30.93
2000.9166666666667,32.52
2001.0,25.28
2001.0833333333333,25.64
2001.1666666666667,27.41
2001.25,24.4
2001.3333333333333,25.55
2001.4166666666667,28.45
2001.5,27.72
2001.5833333333333,24.54
2001.6666666666667,25.67
2001.75,25.54
2001.8333333333333,20.48
2001.9166666666667,18.94
2002.0,18.6
2002.0833333333333,19.48
2002.1666666666667,20.29
2002.25,23.69
2002.3333333333333,25.65
2002.4166666666667,25.43
2002.5,24.13
2002.5833333333333,25.77
2002.6666666666667,26.63
2002.75,28.34
2002.8333333333333,27.55
2002.9166666666667,24.5
2003.0,28.52
2003.0833333333333,31.29
2003.1666666666667,32.65
2003.25,30.34
2003.3333333333333,25.02
2003.4166666666667,25.81
2003.5,27.55
2003.5833333333333,28.4
2003.6666666666667,29.83
2003.75,27.1
2003.8333333333333,29.59
2003.9166666666667,28.77
2004.0,29.88
2004.0833333333333,31.18
2004.1666666666667,30.87
2004.25,33.8
2004.3333333333333,33.36
2004.4166666666667,37.92
2004.5,35.19
2004.5833333333333,38.37
2004.6666666666667,43.03
2004.75,43.38
2004.8333333333333,49.77
2004.9166666666667,43.05
2005.0,39.65
2005.0833333333333,44.28
2005.1666666666667,45.56
2005.25,53.08
2005.3333333333333,51.86
2005.4166666666667,48.67
2005.5,54.31
2005.5833333333333,57.58
2005.6666666666667,64.09
2005.75,62.98
2005.8333333333333,58.52
2005.9166666666667,55.53
2006.0,56.75
2006.0833333333333,63.57
2006.1666666666667,59.92
2006.25,62.25
2006.3333333333333,70.44
2006.4166666666667,70.19
2006.5,68.86
2006.5833333333333,73.9
2006.6666666666667,73.61
2006.75,62.77
2006.8333333333333,58.38
2006.9166666666667,58.48
2007.0,62.31
2007.0833333333333,54.3
2007.1666666666667,57.76
2007.25,62.14
2007.3333333333333,67.4
2007.4166666666667,67.48
2007.5,71.32
2007.5833333333333,77.2
2007.6666666666667,70.8
2007.75,77.13
2007.8333333333333,83.04
2007.9166666666667,92.53
2008.0,91.45
2008.0833333333333,91.92
2008.1666666666667,94.82
2008.25,103.28
2008.3333333333333,110.44
2008.4166666666667,123.94
2008.5,133.05
2008.5833333333333,133.9
2008.6666666666667,113.85
2008.75,99.06
2008.8333333333333,72.84
2008.9166666666667,53.24
2009.0,41.58
2009.0833333333333,44.86
2009.1666666666667,43.2425
2009.25,46.8390909090909
2009.3333333333333,50.8452380952381
2009.4166666666667,57.93809523809521
2009.5,68.59363636363639
2009.5833333333333,64.9165217391304
2009.6666666666667,72.5047619047619
2009.75,67.6868181818182
2009.8333333333333,73.1940909090909
2009.9166666666667,77.03666666666659
2010.0,74.6695454545455
2010.0833333333333,76.373
2010.1666666666667,74.312
2010.25,79.27478260869559
2010.3333333333333,84.92863636363641
2010.4166666666667,76.25095238095241
2010.5,74.8381818181818
2010.5833333333333,74.7354545454545
2010.6666666666667,76.6931818181818
2010.75,77.7868181818182
2010.8333333333333,82.9180952380952
2010.9166666666667,85.67
2011.0,91.7965217391304
2011.0833333333333,96.29428571428569
2011.1666666666667,103.9555
2011.25,114.441304347826
2011.3333333333333,123.150476190476
2011.4166666666667,114.458181818182
2011.5,113.757727272727
2011.5833333333333,116.46
2011.6666666666667,110.081304347826
2011.75,110.87909090909099
2011.8333333333333,109.468571428571
2011.9166666666667,110.50409090909099
2012.0,107.97
2012.0833333333333,110.993636363636
2012.1666666666667,119.702380952381
2012.25,124.928636363636
2012.3333333333333,120.59095238095199
2012.4166666666667,110.52173913043501
2012.5,95.58904761904759
2012.5833333333333,103.140909090909
2012.6666666666667,113.34
2012.75,113.3825
2012.8333333333333,111.97347826087
2012.9166666666667,109.711818181818
2013.0,109.64
2013.0833333333333,112.928695652174
2013.1666666666667,116.455
2013.25,109.24
2013.3333333333333,102.875454545455
2013.4166666666667,103.02695652173901
2013.5,103.11
2013.5833333333333,107.716086956522
2013.6666666666667,110.964545454545
2013.75,111.621428571429
2013.8333333333333,109.478695652174
2013.9166666666667,108.07619047618999
2014.0,110.633636363636
2014.0833333333333,107.570434782609
2014.1666666666667,108.81200000000001
2014.25,107.405714285714
2014.3333333333333,107.875454545455
2014.4166666666667,109.675909090909
2014.5,111.868095238095
2014.5833333333333,106.982608695652
2014.6666666666667,101.922380952381
2014.75,97.3363636363636
2014.8333333333333,87.2695652173913
2014.9166666666667,78.438
2015.0,62.163043478260896
2015.0833333333333,48.4168181818182
2015.1666666666667,57.9305
2015.25,55.7913636363636
2015.3333333333333,59.389545454545406
2015.4166666666667,64.5614285714286
2015.5,62.345909090909096
2015.5833333333333,55.8656521739131
2015.6666666666667,46.99428571428571
2015.75,47.2345454545455
2015.8333333333333,48.1240909090909
2015.9166666666667,44.4171428571429
2016.0,37.7217391304348
2016.0833333333333,30.803333333333303
2016.1666666666667,33.1980952380952
2016.25,39.0708695652174
2016.3333333333333,42.2471428571429
2016.4166666666667,47.1327272727273
2016.5,48.4781818181818
2016.5833333333333,45.0709523809524
2016.6666666666667,46.1443478260869
2016.75,46.1886363636364
2016.8333333333333,49.732380952381
2016.9166666666667,46.4359090909091
2017.0,54.0654545454546
2017.0833333333333,54.8927272727273
2017.1666666666667,55.4935
2017.25,51.9682608695652
2017.3333333333333,53.0635
2017.4166666666667,50.8708695652174
2017.5,46.8945454545455
