Quarter,Revenue (in hundreds of millions $)
2004.25,0.79
2004.5,0.85
2004.75,0.66
2005.0,0.76
2005.25,0.93
2005.5,1.03
2005.75,0.95
2006.0,0.99
2006.25,1.15
2006.5,1.23
2006.75,1.03
2007.0,1.08
2007.25,1.19
2007.5,1.26
2007.75,1.06
2008.0,1.15
2008.25,0.94
2008.5,1.0
2008.75,0.84
2009.0,0.84
2009.25,0.84
2009.5,0.95
2009.75,0.8
2010.0,0.9
2010.25,0.81
2010.5,0.92
2010.75,0.73
2011.0,0.77
2011.25,0.83
2011.5,0.87
2011.75,0.72
2012.0,0.72
2012.25,0.79
2012.5,0.83
2012.75,0.71
2013.0,0.74
2013.25,0.77
2013.5,0.81
2013.75,0.72
2014.0,0.75
